func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.45982e-05	18.3156	219.787
matadd(Dense,Dense,Dense)	float	2000	2000	0.00195749	2.04343	24.5212
matadd(Dense,Dense,Dense)	float	3000	3000	0.00849342	1.05964	12.7157
matadd(Dense,Dense,Dense)	float	4000	4000	0.0206252	0.77575	9.30901
matadd(Dense,Dense,Dense)	float	5000	5000	0.0325742	0.767479	9.20975
matadd(Dense,Dense,Dense)	float	6000	6000	0.0355809	1.01178	12.1414
matadd(Dense,Dense,Dense)	float	7000	7000	0.0639261	0.766511	9.19813
matadd(Dense,Dense,Dense)	float	8000	8000	0.0694366	0.921704	11.0605
matadd(Dense,Dense,Dense)	float	9000	9000	0.0727115	1.11399	13.3679
matadd(Dense,Dense,Dense)	float	10000	10000	0.104249	0.959243	11.5109
matadd(Dense,Dense,Dense)	double	1000	1000	0.00401357	0.249155	5.97972
matadd(Dense,Dense,Dense)	double	2000	2000	0.00914825	0.437242	10.4938
matadd(Dense,Dense,Dense)	double	3000	3000	0.0231298	0.389108	9.3386
matadd(Dense,Dense,Dense)	double	4000	4000	0.0414341	0.386155	9.26772
matadd(Dense,Dense,Dense)	double	5000	5000	0.0612823	0.407948	9.79076
matadd(Dense,Dense,Dense)	double	6000	6000	0.0753507	0.477766	11.4664
matadd(Dense,Dense,Dense)	double	7000	7000	0.092356	0.530556	12.7333
matadd(Dense,Dense,Dense)	double	8000	8000	0.0928005	0.689652	16.5516
matadd(Dense,Dense,Dense)	double	9000	9000	0.12411	0.652648	15.6635
matadd(Dense,Dense,Dense)	double	10000	10000	0.139109	0.718862	17.2527
