func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00308695
transpose(Dense)	float	2000	2000	0.0157034
transpose(Dense)	float	3000	3000	0.0486899
transpose(Dense)	float	4000	4000	0.0981553
transpose(Dense)	float	5000	5000	0.155144
transpose(Dense)	float	6000	6000	0.215037
transpose(Dense)	float	7000	7000	0.349765
transpose(Dense)	float	8000	8000	0.397175
transpose(Dense)	float	9000	9000	0.530223
transpose(Dense)	float	10000	10000	0.615543
transpose(Dense)	double	1000	1000	0.00375995
transpose(Dense)	double	2000	2000	0.0281588
transpose(Dense)	double	3000	3000	0.0740059
transpose(Dense)	double	4000	4000	0.149716
transpose(Dense)	double	5000	5000	0.230371
transpose(Dense)	double	6000	6000	0.346813
transpose(Dense)	double	7000	7000	0.454553
transpose(Dense)	double	8000	8000	0.620129
transpose(Dense)	double	9000	9000	0.75414
transpose(Dense)	double	10000	10000	0.932085
