func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
v_minus	float	1000	1.16768e-05	0.0856399	0.685119
v_minus	float	2000	9.7418e-06	0.205301	1.64241
v_minus	float	4000	1.31839e-05	0.3034	2.4272
v_minus	float	8000	1.76986e-05	0.452013	3.61611
v_minus	float	16000	2.83206e-05	0.56496	4.51968
v_minus	float	32000	4.60429e-05	0.695004	5.56003
v_minus	float	64000	9.3369e-05	0.685452	5.48362
v_minus	float	128000	0.000169629	0.754587	6.03669
v_minus	float	256000	0.000318117	0.804735	6.43788
v_minus	float	512000	0.000635382	0.805815	6.44652
v_minus	float	1024000	0.00114569	0.893782	7.15026
v_minus	float	2048000	0.0023464	0.872828	6.98263
v_minus	float	4096000	0.00729111	0.56178	4.49424
v_minus	float	8192000	0.0177995	0.460236	3.68189
v_minus	float	16384000	0.0434964	0.376675	3.0134
v_minus	float	32768000	0.0879798	0.372449	2.97959
v_minus	float	65536000	0.196187	0.334049	2.67239
v_minus	double	1000	1.02279e-05	0.0977718	1.56435
v_minus	double	2000	1.19537e-05	0.167312	2.677
v_minus	double	4000	1.6438e-05	0.243339	3.89342
v_minus	double	8000	2.58229e-05	0.309803	4.95684
v_minus	double	16000	4.49959e-05	0.355588	5.68941
v_minus	double	32000	8.16259e-05	0.392032	6.27252
v_minus	double	64000	0.000146812	0.435931	6.9749
v_minus	double	128000	0.000276148	0.463519	7.4163
v_minus	double	256000	0.000492973	0.519299	8.30878
v_minus	double	512000	0.000950465	0.538684	8.61894
v_minus	double	1024000	0.00201049	0.509329	8.14927
v_minus	double	2048000	0.00711995	0.287642	4.60228
v_minus	double	4096000	0.0182867	0.223988	3.5838
v_minus	double	8192000	0.0477599	0.171525	2.74439
v_minus	double	16384000	0.096279	0.170172	2.72275
v_minus	double	32768000	0.174433	0.187854	3.00567
v_minus	double	65536000	0.388821	0.16855	2.69681
