func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	0.00426798	0.234303	2.81164
matadd(Dense,Dense,Dense)	float	1500	1500	0.0085002	0.2647	3.1764
matadd(Dense,Dense,Dense)	float	2000	2000	0.0132503	0.301881	3.62257
matadd(Dense,Dense,Dense)	float	2500	2500	0.0182662	0.342161	4.10594
matadd(Dense,Dense,Dense)	float	3000	3000	0.022928	0.392533	4.7104
matadd(Dense,Dense,Dense)	float	3500	3500	0.0328903	0.37245	4.4694
matadd(Dense,Dense,Dense)	float	4000	4000	0.0435245	0.367609	4.41131
matadd(Dense,Dense,Dense)	float	4500	4500	0.0545967	0.370901	4.45082
matadd(Dense,Dense,Dense)	float	5000	5000	0.0676028	0.369807	4.43768
matadd(Dense,Dense,Dense)	float	5500	5500	0.0807374	0.374671	4.49606
matadd(Dense,Dense,Dense)	float	6000	6000	0.0902976	0.398682	4.78418
matadd(Dense,Dense,Dense)	float	6500	6500	0.114918	0.367655	4.41186
matadd(Dense,Dense,Dense)	float	7000	7000	0.130269	0.376144	4.51373
matadd(Dense,Dense,Dense)	float	7500	7500	0.151804	0.370543	4.44652
