func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.0022875	0.437159	3.49727
mscal(Dense)	float	1500	1500	0.0038681	0.581681	4.65345
mscal(Dense)	float	2000	2000	0.00604788	0.661389	5.29111
mscal(Dense)	float	2500	2500	0.00845876	0.738879	5.91103
mscal(Dense)	float	3000	3000	0.0112926	0.796979	6.37583
mscal(Dense)	float	3500	3500	0.013948	0.878261	7.02609
mscal(Dense)	float	4000	4000	0.0175193	0.913278	7.30622
mscal(Dense)	float	4500	4500	0.0217335	0.93174	7.45392
mscal(Dense)	float	5000	5000	0.0265886	0.940252	7.52202
mscal(Dense)	float	5500	5500	0.0318544	0.949632	7.59706
mscal(Dense)	float	6000	6000	0.0382794	0.940452	7.52362
mscal(Dense)	float	6500	6500	0.0447114	0.944949	7.55959
mscal(Dense)	float	7000	7000	0.0512764	0.955606	7.64485
mscal(Dense)	float	7500	7500	0.0589415	0.954335	7.63468
mscal(Dense)	float	8000	8000	0.0669374	0.956118	7.64894
mscal(Dense)	float	8500	8500	0.0763584	0.946196	7.56957
mscal(Dense)	float	9000	9000	0.0858584	0.943414	7.54731
mscal(Dense)	float	9500	9500	0.095207	0.947935	7.58348
mscal(Dense)	float	10000	10000	0.1048	0.954201	7.63361
mscal(Dense)	double	1000	1000	0.00214761	0.465634	7.45015
mscal(Dense)	double	1500	1500	0.00380277	0.591674	9.46679
mscal(Dense)	double	2000	2000	0.0061484	0.650575	10.4092
mscal(Dense)	double	2500	2500	0.00920278	0.679143	10.8663
mscal(Dense)	double	3000	3000	0.0129213	0.696523	11.1444
mscal(Dense)	double	3500	3500	0.0171856	0.712808	11.4049
mscal(Dense)	double	4000	4000	0.0222259	0.719882	11.5181
mscal(Dense)	double	4500	4500	0.0279677	0.72405	11.5848
mscal(Dense)	double	5000	5000	0.0344605	0.725468	11.6075
mscal(Dense)	double	5500	5500	0.0413171	0.732142	11.7143
