func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.016505	0.121175
matvec(Dense)	float	1500	1500	0.000604293	7.44672
matvec(Dense)	float	2000	2000	0.000678221	11.7956
matvec(Dense)	float	2500	2500	0.000782883	15.9666
matvec(Dense)	float	3000	3000	0.000901407	19.9688
matvec(Dense)	float	3500	3500	0.00100005	24.4988
matvec(Dense)	float	4000	4000	0.00119474	26.784
matvec(Dense)	float	4500	4500	0.0013067	30.9942
matvec(Dense)	float	5000	5000	0.00150147	33.3007
matvec(Dense)	float	5500	5500	0.001758	34.414
matvec(Dense)	float	6000	6000	0.00196717	36.6008
matvec(Dense)	float	6500	6500	0.00226895	37.2419
matvec(Dense)	float	7000	7000	0.00249025	39.3535
matvec(Dense)	float	7500	7500	0.00278071	40.4573
matvec(Dense)	float	8000	8000	0.00318602	40.1755
matvec(Dense)	float	8500	8500	0.00346767	41.6706
matvec(Dense)	float	9000	9000	0.00379897	42.6431
matvec(Dense)	float	9500	9500	0.00418209	43.1602
matvec(Dense)	float	10000	10000	0.00453429	44.1084
matvec(Dense)	double	1000	1000	0.00055876	3.57935
matvec(Dense)	double	1500	1500	0.000653987	6.88087
matvec(Dense)	double	2000	2000	0.000818973	9.76833
matvec(Dense)	double	2500	2500	0.00100369	12.4541
matvec(Dense)	double	3000	3000	0.00121738	14.7859
matvec(Dense)	double	3500	3500	0.00148843	16.4603
matvec(Dense)	double	4000	4000	0.00181831	17.5988
matvec(Dense)	double	4500	4500	0.0021235	19.0723
matvec(Dense)	double	5000	5000	0.00250435	19.9653
matvec(Dense)	double	5500	5500	0.00297671	20.3245
