func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.00196431	1.01817
mv_mul(Dense)	float	1500	1500	4.36743e-05	103.035
mv_mul(Dense)	float	2000	2000	6.7232e-05	118.991
mv_mul(Dense)	float	2500	2500	9.79555e-05	127.609
mv_mul(Dense)	float	3000	3000	0.00018229	98.7435
mv_mul(Dense)	float	3500	3500	0.00279867	8.75417
mv_mul(Dense)	float	4000	4000	0.00496676	6.44284
mv_mul(Dense)	float	4500	4500	0.00738562	5.48363
mv_mul(Dense)	float	5000	5000	0.00928362	5.38583
mv_mul(Dense)	float	5500	5500	0.0119284	5.07193
mv_mul(Dense)	float	6000	6000	0.0142769	5.04312
mv_mul(Dense)	float	6500	6500	0.0169927	4.97273
mv_mul(Dense)	float	7000	7000	0.0189113	5.18209
mv_mul(Dense)	float	7500	7500	0.0236798	4.75088
mv_mul(Dense)	float	8000	8000	0.0270617	4.72994
mv_mul(Dense)	float	8500	8500	0.0295708	4.88658
mv_mul(Dense)	float	9000	9000	0.0335018	4.83557
mv_mul(Dense)	float	9500	9500	0.0379156	4.76058
mv_mul(Dense)	float	10000	10000	0.0427192	4.68174
mv_mul(Dense)	double	1000	1000	0.000286288	6.98597
mv_mul(Dense)	double	1500	1500	7.92207e-05	56.8033
mv_mul(Dense)	double	2000	2000	0.000155502	51.4464
mv_mul(Dense)	double	2500	2500	0.00289447	4.31858
mv_mul(Dense)	double	3000	3000	0.00587262	3.06507
mv_mul(Dense)	double	3500	3500	0.00909146	2.69484
mv_mul(Dense)	double	4000	4000	0.0127304	2.51367
mv_mul(Dense)	double	4500	4500	0.0162128	2.49802
mv_mul(Dense)	double	5000	5000	0.0209771	2.38355
mv_mul(Dense)	double	5500	5500	0.00462208	13.0893
mv_mul(Dense)	double	6000	6000	0.0295538	2.43624
mv_mul(Dense)	double	6500	6500	0.0363588	2.32406
mv_mul(Dense)	double	7000	7000	0.0418685	2.34066
mv_mul(Dense)	double	7500	7500	0.0458372	2.45434
mv_mul(Dense)	double	8000	8000	0.0510987	2.50496
mv_mul(Dense)	double	8500	8500	0.0584236	2.47332
mv_mul(Dense)	double	9000	9000	0.0543872	2.97864
mv_mul(Dense)	double	9500	9500	0.0701613	2.57264
mv_mul(Dense)	double	10000	10000	0.0656228	3.04772
