func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	float	1000	1000	1000	0.737343	0.219708
matmul(Dense,CRS,Dense)	float	1500	1500	1500	1.74705	0.208637
matmul(Dense,CRS,Dense)	float	2000	2000	2000	3.56578	0.181727
matmul(Dense,CRS,Dense)	float	2500	2500	2500	5.73047	0.176687
matmul(Dense,CRS,Dense)	float	3000	3000	3000	8.24622	0.176808
matmul(Dense,CRS,Dense)	double	1000	1000	1000	0.841531	0.192506
matmul(Dense,CRS,Dense)	double	1500	1500	1500	2.14671	0.169795
matmul(Dense,CRS,Dense)	double	2000	2000	2000	4.00669	0.16173
matmul(Dense,CRS,Dense)	double	2500	2500	2500	6.49031	0.156002
matmul(Dense,CRS,Dense)	double	3000	3000	3000	9.19894	0.158497
