func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0179797	111.237
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.00493064	1368.99
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.00998441	1602.5
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0169104	1847.98
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0263029	2053.01
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.0406841	2107.7
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0606962	2108.86
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.086961	2095.77
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.120219	2079.54
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0275929	72.4825
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0880682	76.6452
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208554	76.7187
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.405941	76.9816
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.681795	79.2027
matmul(Dense,Dense,Dense)	double	3500	3500	3500	1.08952	78.7044
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.62306	78.8634
matmul(Dense,Dense,Dense)	double	4500	4500	4500	2.31654	78.6735
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.18634	78.46
