func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.00192587	1.03849
matvec(Dense)	float	1500	1500	4.1152e-05	109.351
matvec(Dense)	float	2000	2000	6.42902e-05	124.436
matvec(Dense)	float	2500	2500	0.000107488	116.293
matvec(Dense)	float	3000	3000	0.000172587	104.295
matvec(Dense)	float	3500	3500	0.00280936	8.72085
matvec(Dense)	float	4000	4000	0.00503767	6.35214
matvec(Dense)	float	4500	4500	0.00721562	5.61282
matvec(Dense)	float	5000	5000	0.00952964	5.24679
matvec(Dense)	float	5500	5500	0.0115845	5.22251
matvec(Dense)	float	6000	6000	0.0146773	4.90555
matvec(Dense)	float	6500	6500	0.0171362	4.93107
matvec(Dense)	float	7000	7000	0.0186852	5.24478
matvec(Dense)	float	7500	7500	0.0232981	4.82871
matvec(Dense)	float	8000	8000	0.0271395	4.71638
matvec(Dense)	float	8500	8500	0.0298229	4.84527
matvec(Dense)	float	9000	9000	0.0260249	6.22482
matvec(Dense)	float	9500	9500	0.0340871	5.29526
matvec(Dense)	float	10000	10000	0.0345436	5.78978
matvec(Dense)	double	1000	1000	0.00379453	0.527075
matvec(Dense)	double	1500	1500	0.000272688	16.5024
matvec(Dense)	double	2000	2000	0.000157288	50.8622
matvec(Dense)	double	2500	2500	0.00290168	4.30784
matvec(Dense)	double	3000	3000	0.00584971	3.07707
matvec(Dense)	double	3500	3500	0.00887977	2.75908
matvec(Dense)	double	4000	4000	0.0108358	2.95319
matvec(Dense)	double	4500	4500	0.0164575	2.46089
matvec(Dense)	double	5000	5000	0.0206092	2.4261
matvec(Dense)	double	5500	5500	0.0250296	2.41713
matvec(Dense)	double	6000	6000	0.0271697	2.65001
matvec(Dense)	double	6500	6500	0.0269776	3.13223
matvec(Dense)	double	7000	7000	0.0400272	2.44833
matvec(Dense)	double	7500	7500	0.0387631	2.90225
matvec(Dense)	double	8000	8000	0.0460422	2.78006
matvec(Dense)	double	8500	8500	0.0545676	2.64809
matvec(Dense)	double	9000	9000	0.0543274	2.98192
matvec(Dense)	double	9500	9500	0.0700318	2.5774
matvec(Dense)	double	10000	10000	0.075858	2.6365
