func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_div	float	1000	1.72262e-05	0.116102	0.696613
vv_div	float	2000	1.72188e-05	0.232304	1.39383
vv_div	float	4000	1.97369e-05	0.405332	2.43199
vv_div	float	8000	2.2884e-05	0.699178	4.19507
vv_div	float	16000	3.56793e-05	0.896879	5.38127
vv_div	float	32000	5.01244e-05	1.27682	7.66094
vv_div	float	64000	8.41277e-05	1.5215	9.12898
vv_div	float	128000	0.000139841	1.83065	10.9839
vv_div	float	256000	0.000257493	1.9884	11.9304
vv_div	float	512000	0.000497634	2.05774	12.3464
vv_div	float	1024000	0.000897735	2.2813	13.6878
vv_div	float	2048000	0.00171716	2.38533	14.312
vv_div	float	4096000	0.00656805	1.24725	7.4835
vv_div	float	8192000	0.0134574	1.21747	7.30482
vv_div	float	16384000	0.0453431	0.722667	4.336
vv_div	float	32768000	0.082862	0.790905	4.74543
vv_div	float	65536000	0.148535	0.882432	5.29459
vv_div	double	1000	1.80816e-05	0.11061	1.32732
vv_div	double	2000	1.93345e-05	0.206884	2.48261
vv_div	double	4000	2.31119e-05	0.346142	4.1537
vv_div	double	8000	3.25441e-05	0.491641	5.89969
vv_div	double	16000	4.8562e-05	0.658951	7.90742
vv_div	double	32000	7.59694e-05	0.842444	10.1093
vv_div	double	64000	0.000121626	1.05241	12.6289
vv_div	double	128000	0.000231601	1.10535	13.2642
vv_div	double	256000	0.000399917	1.28027	15.3632
vv_div	double	512000	0.000744889	1.3747	16.4964
vv_div	double	1024000	0.00150912	1.35709	16.285
vv_div	double	2048000	0.00624346	0.656047	7.87256
vv_div	double	4096000	0.0175799	0.465986	5.59183
vv_div	double	8192000	0.0439247	0.373002	4.47602
vv_div	double	16384000	0.0865998	0.378384	4.54061
vv_div	double	32768000	0.182321	0.359454	4.31345
vv_div	double	65536000	0.352334	0.372011	4.46413
