func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	float	1000	1000	0.00074149	0.218479	1.31087
matadd(CRS,CRS,CRS)	float	2000	2000	3.89225e-05	8.32423	49.9454
matadd(CRS,CRS,CRS)	float	4000	4000	7.38438e-05	8.77528	52.6517
matadd(CRS,CRS,CRS)	float	8000	8000	0.000156784	8.26613	49.5968
matadd(CRS,CRS,CRS)	float	16000	16000	0.000290306	8.92852	53.5711
matadd(CRS,CRS,CRS)	float	32000	32000	0.0043449	1.19312	7.15874
matadd(CRS,CRS,CRS)	float	64000	64000	0.0100105	1.03572	6.21429
matadd(CRS,CRS,CRS)	float	128000	128000	0.021543	0.962541	5.77524
matadd(CRS,CRS,CRS)	float	256000	256000	0.0440139	0.942248	5.65349
matadd(CRS,CRS,CRS)	float	512000	512000	0.0872286	0.950881	5.70529
matadd(CRS,CRS,CRS)	double	1000	1000	0.00138179	0.11724	1.40688
matadd(CRS,CRS,CRS)	double	2000	2000	7.2108e-05	4.49326	53.9191
matadd(CRS,CRS,CRS)	double	4000	4000	0.000140587	4.60925	55.3109
matadd(CRS,CRS,CRS)	double	8000	8000	0.000301453	4.29918	51.5902
matadd(CRS,CRS,CRS)	double	16000	16000	0.00358011	0.724	8.68799
matadd(CRS,CRS,CRS)	double	32000	32000	0.00584824	0.886421	10.6371
matadd(CRS,CRS,CRS)	double	64000	64000	0.0215259	0.481653	5.77983
matadd(CRS,CRS,CRS)	double	128000	128000	0.0416717	0.497604	5.97125
matadd(CRS,CRS,CRS)	double	256000	256000	0.0770775	0.538056	6.45667
matadd(CRS,CRS,CRS)	double	512000	512000	0.162768	0.509583	6.115
