func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.0030254
transpose(Dense)	float	2000	2000	0.0155547
transpose(Dense)	float	3000	3000	0.0491108
transpose(Dense)	float	4000	4000	0.0968247
transpose(Dense)	float	5000	5000	0.153282
transpose(Dense)	float	6000	6000	0.211845
transpose(Dense)	float	7000	7000	0.317092
transpose(Dense)	float	8000	8000	0.391954
transpose(Dense)	float	9000	9000	0.525602
transpose(Dense)	float	10000	10000	0.611257
transpose(Dense)	double	1000	1000	0.00367838
transpose(Dense)	double	2000	2000	0.0278962
transpose(Dense)	double	3000	3000	0.0735218
transpose(Dense)	double	4000	4000	0.148371
transpose(Dense)	double	5000	5000	0.227463
transpose(Dense)	double	6000	6000	0.338835
transpose(Dense)	double	7000	7000	0.451015
transpose(Dense)	double	8000	8000	0.613684
transpose(Dense)	double	9000	9000	0.747642
transpose(Dense)	double	10000	10000	0.947738
