func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(CRS)	float	1000	1000	0.00261616	0.0309614
m_tanh(CRS)	float	2000	2000	0.000103053	1.57201
m_tanh(CRS)	float	4000	4000	0.000188694	1.71706
m_tanh(CRS)	float	8000	8000	0.000357282	1.8137
m_tanh(CRS)	float	16000	16000	0.000692494	1.8715
m_tanh(CRS)	float	32000	32000	0.00134201	1.93143
m_tanh(CRS)	float	64000	64000	0.00274952	1.88542
m_tanh(CRS)	float	128000	128000	0.0071808	1.44385
m_tanh(CRS)	float	256000	256000	0.0148013	1.40096
m_tanh(CRS)	float	512000	512000	0.0308366	1.34489
m_tanh(CRS)	double	1000	1000	9.45875e-05	0.85635
m_tanh(CRS)	double	2000	2000	0.000164369	0.985584
m_tanh(CRS)	double	4000	4000	0.000313045	1.03499
m_tanh(CRS)	double	8000	8000	0.00267113	0.242594
m_tanh(CRS)	double	16000	16000	0.00121469	1.06694
m_tanh(CRS)	double	32000	32000	0.00243539	1.06431
m_tanh(CRS)	double	64000	64000	0.00739045	0.701446
m_tanh(CRS)	double	128000	128000	0.0159032	0.651946
m_tanh(CRS)	double	256000	256000	0.032588	0.636307
m_tanh(CRS)	double	512000	512000	0.0478487	0.866732
