func	prec	M	N	time[sec]
convert(COO,CRS)	float	1000	1000	0.000668617
convert(COO,CRS)	float	2000	2000	0.0013344
convert(COO,CRS)	float	4000	4000	0.00214122
convert(COO,CRS)	float	8000	8000	0.00493169
convert(COO,CRS)	float	16000	16000	0.00980059
convert(COO,CRS)	float	32000	32000	0.0244434
convert(COO,CRS)	float	64000	64000	0.0479687
convert(COO,CRS)	float	128000	128000	0.0927617
convert(COO,CRS)	float	256000	256000	0.184257
convert(COO,CRS)	float	512000	512000	0.367781
convert(COO,CRS)	double	1000	1000	0.000362966
convert(COO,CRS)	double	2000	2000	0.000750754
convert(COO,CRS)	double	4000	4000	0.00166659
convert(COO,CRS)	double	8000	8000	0.00414977
convert(COO,CRS)	double	16000	16000	0.0111687
convert(COO,CRS)	double	32000	32000	0.0306611
convert(COO,CRS)	double	64000	64000	0.0664653
convert(COO,CRS)	double	128000	128000	0.131581
convert(COO,CRS)	double	256000	256000	0.260499
convert(COO,CRS)	double	512000	512000	0.519976
