func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	0.000424017	0.38206
mv_mul(CRS)	float	2000	2000	4.24607e-05	7.63059
mv_mul(CRS)	float	4000	4000	7.77496e-05	8.33445
mv_mul(CRS)	float	8000	8000	0.000155831	8.3167
mv_mul(CRS)	float	16000	16000	0.000323208	8.01961
mv_mul(CRS)	float	32000	32000	0.00112713	4.59931
mv_mul(CRS)	float	64000	64000	0.00550147	1.88459
mv_mul(CRS)	float	128000	128000	0.0128081	1.61898
mv_mul(CRS)	float	256000	256000	0.0266733	1.55481
mv_mul(CRS)	float	512000	512000	0.0334146	2.48227
mv_mul(CRS)	double	1000	1000	2.99986e-05	5.40025
mv_mul(CRS)	double	2000	2000	4.90396e-05	6.60691
mv_mul(CRS)	double	4000	4000	8.9961e-05	7.20312
mv_mul(CRS)	double	8000	8000	0.000184402	7.02813
mv_mul(CRS)	double	16000	16000	0.000386226	6.71109
mv_mul(CRS)	double	32000	32000	0.0036368	1.42543
mv_mul(CRS)	double	64000	64000	0.00940577	1.1023
mv_mul(CRS)	double	128000	128000	0.0198372	1.04531
mv_mul(CRS)	double	256000	256000	0.0412189	1.00614
mv_mul(CRS)	double	512000	512000	0.0741814	1.11812
