func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00311619
convert(COO,Dense)	float	1500	1500	0.00397369
convert(COO,Dense)	float	2000	2000	0.00575173
convert(COO,Dense)	float	2500	2500	0.00827003
convert(COO,Dense)	float	3000	3000	0.0159758
convert(COO,Dense)	float	3500	3500	0.0227572
convert(COO,Dense)	float	4000	4000	0.0296525
convert(COO,Dense)	float	4500	4500	0.0363142
convert(COO,Dense)	float	5000	5000	0.044402
convert(COO,Dense)	float	5500	5500	0.0533067
convert(COO,Dense)	float	6000	6000	0.0630245
convert(COO,Dense)	float	6500	6500	0.0737234
convert(COO,Dense)	float	7000	7000	0.0849575
convert(COO,Dense)	float	7500	7500	0.0965122
convert(COO,Dense)	float	8000	8000	0.108993
convert(COO,Dense)	float	8500	8500	0.121889
convert(COO,Dense)	float	9000	9000	0.136909
convert(COO,Dense)	float	9500	9500	0.151055
convert(COO,Dense)	float	10000	10000	0.16724
convert(COO,Dense)	double	1000	1000	0.00290131
convert(COO,Dense)	double	1500	1500	0.00516142
convert(COO,Dense)	double	2000	2000	0.00926135
convert(COO,Dense)	double	2500	2500	0.0214095
convert(COO,Dense)	double	3000	3000	0.0308685
convert(COO,Dense)	double	3500	3500	0.0412958
convert(COO,Dense)	double	4000	4000	0.0514221
convert(COO,Dense)	double	4500	4500	0.0672611
convert(COO,Dense)	double	5000	5000	0.0825046
convert(COO,Dense)	double	5500	5500	0.100416
convert(COO,Dense)	double	6000	6000	0.118381
convert(COO,Dense)	double	6500	6500	0.138091
convert(COO,Dense)	double	7000	7000	0.160004
convert(COO,Dense)	double	7500	7500	0.183219
convert(COO,Dense)	double	8000	8000	0.206868
convert(COO,Dense)	double	8500	8500	0.232613
convert(COO,Dense)	double	9000	9000	0.260047
convert(COO,Dense)	double	9500	9500	0.289597
convert(COO,Dense)	double	10000	10000	0.304771
