func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	float	1000	1000	0.000829541	0.195289
matvec(CRS)	float	2000	2000	4.26321e-05	7.59991
matvec(CRS)	float	4000	4000	7.56852e-05	8.56178
matvec(CRS)	float	8000	8000	0.000154785	8.37289
matvec(CRS)	float	16000	16000	0.000332988	7.78407
matvec(CRS)	float	32000	32000	0.0012862	4.03048
matvec(CRS)	float	64000	64000	0.00781957	1.3259
matvec(CRS)	float	128000	128000	0.017097	1.21284
matvec(CRS)	float	256000	256000	0.0350021	1.18484
matvec(CRS)	float	512000	512000	0.051884	1.59864
matvec(CRS)	double	1000	1000	0.000145247	1.11534
matvec(CRS)	double	2000	2000	4.62299e-05	7.00845
matvec(CRS)	double	4000	4000	8.85171e-05	7.32062
matvec(CRS)	double	8000	8000	0.000187605	6.90812
matvec(CRS)	double	16000	16000	0.000411519	6.29862
matvec(CRS)	double	32000	32000	0.00487852	1.06262
matvec(CRS)	double	64000	64000	0.00560431	1.85001
matvec(CRS)	double	128000	128000	0.0265826	0.780059
matvec(CRS)	double	256000	256000	0.053774	0.771228
matvec(CRS)	double	512000	512000	0.0945714	0.877051
