func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0057541	347.578
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.0130785	516.113
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0299697	533.872
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0605062	516.476
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.105756	510.609
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.158963	539.435
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.237545	538.845
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.327662	556.214
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.45147	553.746
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00915508	218.458
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0281256	239.995
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0641541	249.399
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.115914	269.596
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.199072	271.259
matmul(Dense,Dense,Dense)	double	3500	3500	3500	0.30812	278.301
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.457082	280.037
matmul(Dense,Dense,Dense)	double	4500	4500	4500	0.657418	277.221
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.911395	274.305
