func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00833852	239.851
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00472248	1429.33
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00911013	1756.29
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0154969	2016.53
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0262301	2058.7
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0417463	2054.07
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.061282	2088.7
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0886231	2056.46
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.122127	2047.05
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0275329	72.6403
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0875597	77.0903
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.206968	77.3066
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.402557	77.6287
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.675717	79.9151
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.0785	79.5086
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.60833	79.5856
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.29543	79.3968
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.15255	79.3009
