func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.00677454
convert(COO,CRS)	CRS	float	20000	20000	0.0140191
convert(COO,CRS)	CRS	float	30000	30000	0.0248001
convert(COO,CRS)	CRS	float	40000	40000	0.0319551
convert(COO,CRS)	CRS	float	50000	50000	0.0396966
convert(COO,CRS)	CRS	float	60000	60000	0.0476598
convert(COO,CRS)	CRS	float	70000	70000	0.0543958
convert(COO,CRS)	CRS	float	80000	80000	0.0620179
convert(COO,CRS)	CRS	float	90000	90000	0.0700942
convert(COO,CRS)	CRS	float	100000	100000	0.0775638
convert(COO,CRS)	CRS	double	10000	10000	0.00541209
convert(COO,CRS)	CRS	double	20000	20000	0.0140911
convert(COO,CRS)	CRS	double	30000	30000	0.0294116
convert(COO,CRS)	CRS	double	40000	40000	0.0389762
convert(COO,CRS)	CRS	double	50000	50000	0.0485413
convert(COO,CRS)	CRS	double	60000	60000	0.0643688
convert(COO,CRS)	CRS	double	70000	70000	0.073945
convert(COO,CRS)	CRS	double	80000	80000	0.085574
convert(COO,CRS)	CRS	double	90000	90000	0.0952832
convert(COO,CRS)	CRS	double	100000	100000	0.106077
