func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00224206
convert(COO,Dense)	Dense	float	2000	2000	0.00553614
convert(COO,Dense)	Dense	float	3000	3000	0.0170063
convert(COO,Dense)	Dense	float	4000	4000	0.0282672
convert(COO,Dense)	Dense	float	5000	5000	0.044152
convert(COO,Dense)	Dense	float	6000	6000	0.060533
convert(COO,Dense)	Dense	float	7000	7000	0.0810785
convert(COO,Dense)	Dense	float	8000	8000	0.105389
convert(COO,Dense)	Dense	float	9000	9000	0.130202
convert(COO,Dense)	Dense	float	10000	10000	0.159921
convert(COO,Dense)	Dense	double	1000	1000	0.00270399
convert(COO,Dense)	Dense	double	2000	2000	0.00861615
convert(COO,Dense)	Dense	double	3000	3000	0.0302325
convert(COO,Dense)	Dense	double	4000	4000	0.0523242
convert(COO,Dense)	Dense	double	5000	5000	0.08138
convert(COO,Dense)	Dense	double	6000	6000	0.114077
convert(COO,Dense)	Dense	double	7000	7000	0.15384
convert(COO,Dense)	Dense	double	8000	8000	0.198667
convert(COO,Dense)	Dense	double	9000	9000	0.250031
convert(COO,Dense)	Dense	double	10000	10000	0.303201
