func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00147619	0.677419	
m_tanh(Dense)	float	2000	2000	0.00429444	0.931437	
m_tanh(Dense)	float	3000	3000	0.00950062	0.947306	
m_tanh(Dense)	float	4000	4000	0.0171512	0.932877	
m_tanh(Dense)	float	5000	5000	0.0264451	0.945355	
m_tanh(Dense)	float	6000	6000	0.0376349	0.956558	
m_tanh(Dense)	float	7000	7000	0.0511444	0.958072	
m_tanh(Dense)	float	8000	8000	0.0666247	0.960605	
m_tanh(Dense)	float	9000	9000	0.0846852	0.956483	
m_tanh(Dense)	float	10000	10000	0.104328	0.958516	
m_tanh(Dense)	double	1000	1000	0.00282799	0.353608	
m_tanh(Dense)	double	2000	2000	0.011408	0.350631	
m_tanh(Dense)	double	3000	3000	0.0255827	0.351801	
m_tanh(Dense)	double	4000	4000	0.0456058	0.350832	
m_tanh(Dense)	double	5000	5000	0.0716174	0.349077	
m_tanh(Dense)	double	6000	6000	0.103198	0.348845	
m_tanh(Dense)	double	7000	7000	0.140458	0.34886	
m_tanh(Dense)	double	8000	8000	0.183533	0.348711	
m_tanh(Dense)	double	9000	9000	0.232677	0.348121	
