func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00180996	1.105	
matvec(Dense)	float	2000	2000	6.38514e-05	125.291	
matvec(Dense)	float	3000	3000	0.000179019	100.548	
matvec(Dense)	float	4000	4000	0.00513419	6.23273	
matvec(Dense)	float	5000	5000	0.00949115	5.26807	
matvec(Dense)	float	6000	6000	0.014813	4.86061	
matvec(Dense)	float	7000	7000	0.0202901	4.82995	
matvec(Dense)	float	8000	8000	0.0269198	4.75486	
matvec(Dense)	float	9000	9000	0.0191173	8.474	
matvec(Dense)	float	10000	10000	0.0427821	4.67485	
matvec(Dense)	double	1000	1000	0.000136447	14.6577	
matvec(Dense)	double	2000	2000	0.000134752	59.3684	
matvec(Dense)	double	3000	3000	0.00591107	3.04514	
matvec(Dense)	double	4000	4000	0.0117243	2.72938	
matvec(Dense)	double	5000	5000	0.0173566	2.88074	
matvec(Dense)	double	6000	6000	0.0286213	2.51561	
matvec(Dense)	double	7000	7000	0.0355332	2.75798	
matvec(Dense)	double	8000	8000	0.0481095	2.6606	
matvec(Dense)	double	9000	9000	0.0436091	3.71482	
matvec(Dense)	double	10000	10000	0.0712301	2.8078	
