func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.0171378	0.116701	
mv_mul(Dense)	float	2000	2000	0.001584	5.0505	
mv_mul(Dense)	float	3000	3000	0.00180723	9.95998	
mv_mul(Dense)	float	4000	4000	0.00236612	13.5243	
mv_mul(Dense)	float	5000	5000	0.00235663	21.2167	
mv_mul(Dense)	float	6000	6000	0.00272488	26.4231	
mv_mul(Dense)	float	7000	7000	0.00321251	30.5058	
mv_mul(Dense)	float	8000	8000	0.00390359	32.7903	
mv_mul(Dense)	float	9000	9000	0.00464887	34.8472	
mv_mul(Dense)	float	10000	10000	0.00526912	37.957	
mv_mul(Dense)	double	1000	1000	0.00127265	1.57152	
mv_mul(Dense)	double	2000	2000	0.0015325	5.22022	
mv_mul(Dense)	double	3000	3000	0.00192264	9.36211	
mv_mul(Dense)	double	4000	4000	0.0025144	12.7267	
mv_mul(Dense)	double	5000	5000	0.00330006	15.1513	
mv_mul(Dense)	double	6000	6000	0.00419192	17.1759	
mv_mul(Dense)	double	7000	7000	0.00516165	18.9862	
mv_mul(Dense)	double	8000	8000	0.00646199	19.8081	
mv_mul(Dense)	double	9000	9000	0.00798959	20.2764	
