func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	7.2726e-06	0.275005	1.65003	
axpyz	float	10000	7.0998e-06	2.81698	16.9019	
axpyz	float	100000	9.8462e-06	20.3124	121.874	
axpyz	float	1000000	4.04531e-05	49.44	296.64	
axpyz	float	10000000	0.00313265	6.38437	38.3062	
axpyz	float	100000000	0.0393194	5.08655	30.5193	
axpyz	double	1000	7.6187e-06	0.262512	3.15014	
axpyz	double	10000	7.6698e-06	2.60763	31.2916	
axpyz	double	100000	1.15559e-05	17.3072	207.686	
axpyz	double	1000000	7.57033e-05	26.4189	317.027	
axpyz	double	10000000	0.0208034	0.961381	11.5366	
axpyz	double	100000000	0.21043	0.950433	11.4052	
