func	prec	M	N	time[sec]	perf[GFLOPS]	perf[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	0.000448613	2.22909	26.7491	
matadd(Dense,Dense,Dense)	float	2000	2000	0.00193083	2.07165	24.8598	
matadd(Dense,Dense,Dense)	float	3000	3000	0.00860833	1.0455	12.546	
matadd(Dense,Dense,Dense)	float	4000	4000	0.0159813	1.00117	12.0141	
matadd(Dense,Dense,Dense)	float	5000	5000	0.0263516	0.948708	11.3845	
matadd(Dense,Dense,Dense)	float	6000	6000	0.0378993	0.949885	11.3986	
matadd(Dense,Dense,Dense)	float	7000	7000	0.0530407	0.923819	11.0858	
matadd(Dense,Dense,Dense)	float	8000	8000	0.0562512	1.13775	13.653	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0849801	0.953164	11.438	
matadd(Dense,Dense,Dense)	float	10000	10000	0.0758704	1.31804	15.8165	
matadd(Dense,Dense,Dense)	double	1000	1000	0.000153497	6.51478	156.355	
matadd(Dense,Dense,Dense)	double	2000	2000	0.00510875	0.78297	18.7913	
matadd(Dense,Dense,Dense)	double	3000	3000	0.0185977	0.48393	11.6143	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0268838	0.595155	14.2837	
matadd(Dense,Dense,Dense)	double	5000	5000	0.0469512	0.532467	12.7792	
matadd(Dense,Dense,Dense)	double	6000	6000	0.0571358	0.630078	15.1219	
matadd(Dense,Dense,Dense)	double	7000	7000	0.083365	0.587777	14.1066	
matadd(Dense,Dense,Dense)	double	8000	8000	0.0984396	0.650145	15.6035	
matadd(Dense,Dense,Dense)	double	9000	9000	0.127957	0.633028	15.1927	
matadd(Dense,Dense,Dense)	double	10000	10000	0.169602	0.589615	14.1508	
