func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.0018174	1.10047	
mv_mul(Dense)	float	2000	2000	6.44739e-05	124.081	
mv_mul(Dense)	float	3000	3000	0.000215562	83.5027	
mv_mul(Dense)	float	4000	4000	0.00505399	6.33163	
mv_mul(Dense)	float	5000	5000	0.00962717	5.19364	
mv_mul(Dense)	float	6000	6000	0.014536	4.95324	
mv_mul(Dense)	float	7000	7000	0.0204557	4.79083	
mv_mul(Dense)	float	8000	8000	0.0264906	4.8319	
mv_mul(Dense)	float	9000	9000	0.0232534	6.96673	
mv_mul(Dense)	float	10000	10000	0.0442032	4.52456	
mv_mul(Dense)	double	1000	1000	0.000158572	12.6126	
mv_mul(Dense)	double	2000	2000	0.00014167	56.4692	
mv_mul(Dense)	double	3000	3000	0.00592071	3.04018	
mv_mul(Dense)	double	4000	4000	0.0122803	2.6058	
mv_mul(Dense)	double	5000	5000	0.0203582	2.45601	
mv_mul(Dense)	double	6000	6000	0.0299351	2.4052	
mv_mul(Dense)	double	7000	7000	0.038295	2.55908	
mv_mul(Dense)	double	8000	8000	0.0526245	2.43233	
mv_mul(Dense)	double	9000	9000	0.0625207	2.59114	
mv_mul(Dense)	double	10000	10000	0.0729723	2.74077	
