func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	float	1000	0.000936687	0.00106759	0.00427037	
sum	float	10000	0.000944756	0.0105847	0.042339	
sum	float	100000	0.00103221	0.0968791	0.387516	
sum	float	1000000	0.00194249	0.514803	2.05921	
sum	float	10000000	0.0110363	0.906097	3.62439	
sum	float	100000000	0.083022	1.2045	4.818	
sum	double	1000	0.00072939	0.00137101	0.0109681	
sum	double	10000	0.000740092	0.0135118	0.108095	
sum	double	100000	0.000862009	0.116008	0.928064	
sum	double	1000000	0.00201662	0.49588	3.96704	
sum	double	10000000	0.013228	0.755974	6.04779	
sum	double	100000000	0.126142	0.792755	6.34204	
