func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	float	1000	0.000516584	0.00387159	0.00774317	
nrm2	float	10000	0.000525214	0.0380797	0.0761594	
nrm2	float	100000	0.00051415	0.388991	0.777983	
nrm2	float	1000000	0.000556202	3.59582	7.19163	
nrm2	float	10000000	0.000949329	21.0675	42.135	
nrm2	float	100000000	0.00474073	42.1876	84.3751	
nrm2	double	1000	0.000524169	0.00381557	0.0152623	
nrm2	double	10000	0.00054619	0.0366173	0.146469	
nrm2	double	100000	0.000551196	0.362847	1.45139	
nrm2	double	1000000	0.000925836	2.16021	8.64084	
nrm2	double	10000000	0.00133904	14.936	59.7441	
nrm2	double	100000000	0.00858721	23.2905	93.1619	
