func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00293899	
convert(COO,Dense)	float	2000	2000	0.00577723	
convert(COO,Dense)	float	3000	3000	0.0167196	
convert(COO,Dense)	float	4000	4000	0.028619	
convert(COO,Dense)	float	5000	5000	0.0447577	
convert(COO,Dense)	float	6000	6000	0.0633956	
convert(COO,Dense)	float	7000	7000	0.0843996	
convert(COO,Dense)	float	8000	8000	0.109511	
convert(COO,Dense)	float	9000	9000	0.136421	
convert(COO,Dense)	float	10000	10000	0.167648	
convert(COO,Dense)	double	1000	1000	0.00290934	
convert(COO,Dense)	double	2000	2000	0.00927987	
convert(COO,Dense)	double	3000	3000	0.0308975	
convert(COO,Dense)	double	4000	4000	0.0538082	
convert(COO,Dense)	double	5000	5000	0.0844447	
convert(COO,Dense)	double	6000	6000	0.118118	
convert(COO,Dense)	double	7000	7000	0.160045	
convert(COO,Dense)	double	8000	8000	0.203356	
convert(COO,Dense)	double	9000	9000	0.261977	
convert(COO,Dense)	double	10000	10000	0.317507	
