func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00304361	
transpose(Dense)	float	2000	2000	0.0199959	
transpose(Dense)	float	3000	3000	0.0496558	
transpose(Dense)	float	4000	4000	0.0989486	
transpose(Dense)	float	5000	5000	0.155005	
transpose(Dense)	float	6000	6000	0.21591	
transpose(Dense)	float	7000	7000	0.318708	
transpose(Dense)	float	8000	8000	0.403243	
transpose(Dense)	float	9000	9000	0.528	
transpose(Dense)	float	10000	10000	0.614877	
transpose(Dense)	double	1000	1000	0.00383565	
transpose(Dense)	double	2000	2000	0.0288408	
transpose(Dense)	double	3000	3000	0.0743523	
transpose(Dense)	double	4000	4000	0.154109	
transpose(Dense)	double	5000	5000	0.229988	
transpose(Dense)	double	6000	6000	0.359114	
transpose(Dense)	double	7000	7000	0.454326	
transpose(Dense)	double	8000	8000	0.621408	
transpose(Dense)	double	9000	9000	0.756596	
transpose(Dense)	double	10000	10000	0.930632	
