func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
v_minus	float	1000	9.2623e-06	0.107965	0.863716	
v_minus	float	10000	1.89952e-05	0.526449	4.21159	
v_minus	float	100000	0.000144713	0.691021	5.52816	
v_minus	float	1000000	0.00114011	0.877111	7.01689	
v_minus	float	10000000	0.0300391	0.3329	2.6632	
v_minus	float	100000000	0.269218	0.371446	2.97157	
v_minus	double	1000	1.02856e-05	0.0972233	1.55557	
v_minus	double	10000	2.92758e-05	0.341579	5.46526	
v_minus	double	100000	0.000213373	0.468662	7.4986	
v_minus	double	1000000	0.00229689	0.435371	6.96594	
v_minus	double	10000000	0.0626803	0.15954	2.55264	
v_minus	double	100000000	0.60542	0.165175	2.64279	
