func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	float	1000	2.449e-07	8.1666	32.6664	
dot	float	10000	3.7703e-06	5.30462	21.2185	
dot	float	100000	1.04435e-05	19.1507	76.6027	
dot	float	1000000	2.82775e-05	70.7276	282.91	
dot	float	10000000	0.0048889	4.0909	16.3636	
dot	float	100000000	0.0149004	13.4225	53.6899	
dot	double	1000	5.084e-07	3.93391	31.4713	
dot	double	10000	8.1563e-06	2.45209	19.6167	
dot	double	100000	1.08489e-05	18.435	147.48	
dot	double	1000000	4.77366e-05	41.8966	335.173	
dot	double	10000000	0.0119387	1.67522	13.4018	
dot	double	100000000	0.0497125	4.02313	32.1851	
