func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00268659	0.37222	
m_tanh(Dense)	float	2000	2000	0.00118856	3.36542	
m_tanh(Dense)	float	3000	3000	0.00266435	3.37793	
m_tanh(Dense)	float	4000	4000	0.00525674	3.04371	
m_tanh(Dense)	float	5000	5000	0.00913561	2.73654	
m_tanh(Dense)	float	6000	6000	0.0132932	2.70815	
m_tanh(Dense)	float	7000	7000	0.0185154	2.64645	
m_tanh(Dense)	float	8000	8000	0.02418	2.64681	
m_tanh(Dense)	float	9000	9000	0.0315432	2.56791	
m_tanh(Dense)	float	10000	10000	0.0381491	2.62129	
m_tanh(Dense)	double	1000	1000	0.000737686	1.35559	
m_tanh(Dense)	double	2000	2000	0.00291185	1.3737	
m_tanh(Dense)	double	3000	3000	0.00700103	1.28553	
m_tanh(Dense)	double	4000	4000	0.012499	1.28011	
m_tanh(Dense)	double	5000	5000	0.0196858	1.26995	
m_tanh(Dense)	double	6000	6000	0.0281527	1.27874	
m_tanh(Dense)	double	7000	7000	0.0393344	1.24573	
m_tanh(Dense)	double	8000	8000	0.0501007	1.27743	
m_tanh(Dense)	double	9000	9000	0.0667846	1.21285	
m_tanh(Dense)	double	10000	10000	0.0819426	1.22037	
