func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	float	1000	2.662e-07	3.75657	30.0526	
scal	float	10000	1.7773e-06	5.62651	45.0121	
scal	float	100000	7.9385e-06	12.5968	100.775	
scal	float	1000000	1.98418e-05	50.3987	403.189	
scal	float	10000000	0.000460526	21.7143	173.714	
scal	float	100000000	0.0171718	5.8235	46.588	
scal	double	1000	2.819e-07	3.54736	56.7577	
scal	double	10000	8.0996e-06	1.23463	19.7541	
scal	double	100000	1.42567e-05	7.01425	112.228	
scal	double	1000000	4.16967e-05	23.9827	383.723	
scal	double	10000000	0.00843393	1.18569	18.971	
scal	double	100000000	0.0577904	1.73039	27.6863	
