func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.0181803	110.009
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0049301	1369.14
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0100047	1599.24
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0167707	1863.36
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0260165	2075.6
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0407501	2104.29
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0604612	2117.06
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0883663	2062.44
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.121025	2065.69
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0281613	71.0195
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0882541	76.4837
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.20858	76.7092
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.405935	76.9827
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.681734	79.2098
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.08974	78.6887
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.62276	78.8781
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.31609	78.6885
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.19297	78.2971
