func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.0081884	244.248
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00461805	1461.66
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00917742	1743.41
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0152361	2051.05
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0258016	2092.89
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0415988	2061.36
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0613775	2085.45
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0885935	2057.15
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.121982	2049.48
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.027737	72.1058
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0877729	76.903
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.208386	76.7807
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.405371	77.0898
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.680438	79.3607
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.08562	78.9874
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.61953	79.0351
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.31152	78.8441
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.17468	78.7482
