func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.0022269
convert(COO,Dense)	Dense	float	2000	2000	0.00550486
convert(COO,Dense)	Dense	float	3000	3000	0.0168271
convert(COO,Dense)	Dense	float	4000	4000	0.0288131
convert(COO,Dense)	Dense	float	5000	5000	0.0433551
convert(COO,Dense)	Dense	float	6000	6000	0.062175
convert(COO,Dense)	Dense	float	7000	7000	0.0829698
convert(COO,Dense)	Dense	float	8000	8000	0.105837
convert(COO,Dense)	Dense	float	9000	9000	0.133214
convert(COO,Dense)	Dense	float	10000	10000	0.161774
convert(COO,Dense)	Dense	double	1000	1000	0.00269805
convert(COO,Dense)	Dense	double	2000	2000	0.00888432
convert(COO,Dense)	Dense	double	3000	3000	0.0302349
convert(COO,Dense)	Dense	double	4000	4000	0.0528849
convert(COO,Dense)	Dense	double	5000	5000	0.0836867
convert(COO,Dense)	Dense	double	6000	6000	0.11865
convert(COO,Dense)	Dense	double	7000	7000	0.159133
convert(COO,Dense)	Dense	double	8000	8000	0.203003
convert(COO,Dense)	Dense	double	9000	9000	0.258391
convert(COO,Dense)	Dense	double	10000	10000	0.317419
