func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.00584082
convert(COO,CRS)	CRS	float	20000	20000	0.0121464
convert(COO,CRS)	CRS	float	30000	30000	0.0233227
convert(COO,CRS)	CRS	float	40000	40000	0.0310321
convert(COO,CRS)	CRS	float	50000	50000	0.0386064
convert(COO,CRS)	CRS	float	60000	60000	0.0460564
convert(COO,CRS)	CRS	float	70000	70000	0.0525416
convert(COO,CRS)	CRS	float	80000	80000	0.059944
convert(COO,CRS)	CRS	float	90000	90000	0.0676375
convert(COO,CRS)	CRS	float	100000	100000	0.0751226
convert(COO,CRS)	CRS	double	10000	10000	0.00499153
convert(COO,CRS)	CRS	double	20000	20000	0.0132721
convert(COO,CRS)	CRS	double	30000	30000	0.0292951
convert(COO,CRS)	CRS	double	40000	40000	0.0379999
convert(COO,CRS)	CRS	double	50000	50000	0.0474293
convert(COO,CRS)	CRS	double	60000	60000	0.0626356
convert(COO,CRS)	CRS	double	70000	70000	0.072944
convert(COO,CRS)	CRS	double	80000	80000	0.0831631
convert(COO,CRS)	CRS	double	90000	90000	0.0928568
convert(COO,CRS)	CRS	double	100000	100000	0.10316
