func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00235398
convert(COO,Dense)	Dense	float	2000	2000	0.00569497
convert(COO,Dense)	Dense	float	3000	3000	0.0164844
convert(COO,Dense)	Dense	float	4000	4000	0.0286966
convert(COO,Dense)	Dense	float	5000	5000	0.0431104
convert(COO,Dense)	Dense	double	1000	1000	0.00285723
convert(COO,Dense)	Dense	double	2000	2000	0.00927491
convert(COO,Dense)	Dense	double	3000	3000	0.0300788
convert(COO,Dense)	Dense	double	4000	4000	0.0520667
convert(COO,Dense)	Dense	double	5000	5000	0.0800277
