func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00453568	440.948
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0136032	496.207
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0310441	515.396
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.060842	513.625
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.106384	507.596
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.162075	529.075
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.238541	536.596
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.341182	534.173
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.471468	530.259
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.00927655	215.597
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0276143	244.438
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.0649073	246.506
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.119642	261.195
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.204987	263.432
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.318905	268.889
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.474794	269.591
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.66803	272.817
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.913778	273.59
