func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0362045	4.47458
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.0516172	7.0616
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.102743	6.30698
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.134411	7.53285
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.16852	8.65177
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.036205	4.47452
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0590651	6.17116
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0842053	7.69548
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.113504	8.92037
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.144034	10.1226
