func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asum	float	1000	2.139e-07	4.67508	18.7003	
asum	float	10000	1.3311e-06	7.51258	30.0503	
asum	float	100000	9.4896e-06	10.5379	42.1514	
asum	float	1000000	1.86241e-05	53.6939	214.775	
asum	float	10000000	0.000376214	26.5806	106.322	
asum	float	100000000	0.00862926	11.5885	46.3539	
asum	double	1000	3.305e-07	3.02572	24.2057	
asum	double	10000	7.8706e-06	1.27055	10.1644	
asum	double	100000	1.00001e-05	9.9999	79.9992	
asum	double	1000000	3.1594e-05	31.6516	253.213	
asum	double	10000000	0.00727328	1.3749	10.9992	
asum	double	100000000	0.0265032	3.77312	30.185	
