func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_add	float	1000	0.000199145	0.0100429	0.0401717	
sv_add	float	10000	2.49387e-05	0.801966	3.20787	
sv_add	float	100000	0.000115803	1.72708	6.9083	
sv_add	float	1000000	0.000820247	2.43829	9.75317	
sv_add	float	10000000	0.0235687	0.848582	3.39433	
sv_add	float	100000000	0.220982	0.90505	3.6202	
sv_add	double	1000	1.71901e-05	0.116346	0.930768	
sv_add	double	10000	3.56606e-05	0.560843	4.48674	
sv_add	double	100000	0.000147706	1.35404	10.8323	
sv_add	double	1000000	0.00153224	1.30528	10.4422	
sv_add	double	10000000	0.0496804	0.402573	3.22058	
sv_add	double	100000000	0.438695	0.455897	3.64718	
