func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	float	1000	2.674e-07	3.73972	29.9177	
scal	float	10000	1.7563e-06	5.69379	45.5503	
scal	float	100000	9.0185e-06	11.0883	88.7065	
scal	float	1000000	2.24378e-05	44.5676	356.541	
scal	float	10000000	0.000637274	15.6918	125.535	
scal	float	100000000	0.0151272	6.61062	52.885	
scal	double	1000	3.144e-07	3.18066	50.8906	
scal	double	10000	9.0968e-06	1.09929	17.5886	
scal	double	100000	1.0557e-05	9.47239	151.558	
scal	double	1000000	4.16689e-05	23.9987	383.979	
scal	double	10000000	0.0091854	1.08868	17.4189	
scal	double	100000000	0.0510081	1.96047	31.3676	
