func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	float	1000	0.000653796	0.00305906	0.00611811	
nrm2	float	10000	0.00065679	0.0304511	0.0609022	
nrm2	float	100000	0.000657788	0.30405	0.608099	
nrm2	float	1000000	0.000694704	2.87892	5.75784	
nrm2	float	10000000	0.00108776	18.3864	36.7728	
nrm2	float	100000000	0.00493726	40.5083	81.0166	
nrm2	double	1000	0.000688468	0.002905	0.01162	
nrm2	double	10000	0.000715086	0.0279687	0.111875	
nrm2	double	100000	0.000751458	0.266149	1.0646	
nrm2	double	1000000	0.000783697	2.55201	10.208	
nrm2	double	10000000	0.00157191	12.7234	50.8935	
nrm2	double	100000000	0.00958633	20.863	83.4521	
