func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
xpay	float	1000	0.000962955	0.00311541	0.00830776	
xpay	float	10000	0.000999346	0.0300196	0.0800523	
xpay	float	100000	0.00141652	0.211787	0.564765	
xpay	float	1000000	0.00536179	0.559514	1.49204	
xpay	float	10000000	0.0414651	0.7235	1.92933	
xpay	float	100000000	0.398008	0.753753	2.01001	
xpay	double	1000	0.000772989	0.00388104	0.0206989	
xpay	double	10000	0.000810621	0.0370087	0.197379	
xpay	double	100000	0.00122501	0.244895	1.30611	
xpay	double	1000000	0.00486629	0.616486	3.28792	
xpay	double	10000000	0.0420246	0.713867	3.80729	
xpay	double	100000000	0.423002	0.709216	3.78249	
