func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_sub	float	1000	0.00134419	0.00148789	0.00892732	
vv_sub	float	10000	2.65992e-05	0.751902	4.51141	
vv_sub	float	100000	0.000117387	1.70377	10.2226	
vv_sub	float	1000000	0.000928917	2.15304	12.9183	
vv_sub	float	10000000	0.0309362	0.646492	3.87895	
vv_sub	float	100000000	0.224514	0.890813	5.34488	
vv_sub	double	1000	1.98521e-05	0.100745	1.20894	
vv_sub	double	10000	4.93976e-05	0.404878	4.85854	
vv_sub	double	100000	0.000264708	0.75555	9.0666	
vv_sub	double	1000000	0.00199481	1.0026	12.0312	
vv_sub	double	10000000	0.0440026	0.454519	5.45422	
vv_sub	double	100000000	0.506518	0.394852	4.73823	
