func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	6.958e-06	0.287439	1.72463
axpyz	float	10000	7.9802e-06	2.5062	15.0372
axpyz	float	100000	9.5443e-06	20.9549	125.729
axpyz	float	1000000	4.178e-05	47.8698	287.219
axpyz	float	10000000	0.00296723	6.7403	40.4418
axpyz	float	100000000	0.038724	5.16476	30.9886
axpyz	double	1000	7.3617e-06	0.271676	3.26012
axpyz	double	10000	8.1474e-06	2.45477	29.4573
axpyz	double	100000	1.16937e-05	17.1032	205.239
axpyz	double	1000000	7.55803e-05	26.4619	317.543
axpyz	double	10000000	0.0259783	0.769874	9.23849
axpyz	double	100000000	0.11865	1.68563	20.2275
