func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	float	1000	1.5127e-06	1.32214	7.93284
axpy	float	10000	4.042e-06	4.94805	29.6883
axpy	float	100000	1.49018e-05	13.4212	80.5272
axpy	float	1000000	3.53835e-05	56.5235	339.141
axpy	float	10000000	0.00608514	3.2867	19.7202
axpy	float	100000000	0.0240471	8.317	49.902
axpy	double	1000	3.406e-07	5.87199	70.4639
axpy	double	10000	9.3746e-06	2.13342	25.6011
axpy	double	100000	1.13358e-05	17.6432	211.719
axpy	double	1000000	5.98326e-05	33.4266	401.119
axpy	double	10000000	0.0142223	1.40625	16.8749
axpy	double	100000000	0.0664944	3.00777	36.0933
