func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_mul	float	1000	2.50387e-05	0.0798764	0.319505
sv_mul	float	10000	2.43789e-05	0.820382	3.28153
sv_mul	float	100000	0.00011687	1.71131	6.84524
sv_mul	float	1000000	0.000818825	2.44252	9.7701
sv_mul	float	10000000	0.0232715	0.859421	3.43768
sv_mul	float	100000000	0.217899	0.917854	3.67142
sv_mul	double	1000	1.73089e-05	0.115547	0.92438
sv_mul	double	10000	3.47404e-05	0.575699	4.60559
sv_mul	double	100000	0.000138232	1.44684	11.5747
sv_mul	double	1000000	0.00154519	1.29434	10.3547
sv_mul	double	10000000	0.0481558	0.415318	3.32255
sv_mul	double	100000000	0.478629	0.41786	3.34288
