func	prec	M	N	K	time[sec]	perf[GFLOPS] 
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00582758	343.196
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0312356	512.236
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.103756	520.453
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.237545	538.846
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.453844	550.85
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00914449	218.711
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0625794	255.675
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.199131	271.178
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.450777	283.954
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.87102	287.02
