func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	float	1000	2.602e-07	7.6864	30.7456
dot	float	10000	8.879e-06	2.25251	9.01002
dot	float	100000	0.000198494	1.00759	4.03034
dot	float	1000000	2.81485e-05	71.0517	284.207
dot	float	10000000	0.00695424	2.87594	11.5038
dot	float	100000000	0.0160598	12.4535	49.8138
dot	double	1000	5.162e-07	3.87447	30.9957
dot	double	10000	8.163e-06	2.45008	19.6006
dot	double	100000	1.20047e-05	16.6601	133.281
dot	double	1000000	4.76583e-05	41.9654	335.723
dot	double	10000000	0.0158252	1.26381	10.1105
dot	double	100000000	0.0355345	5.62833	45.0266
