func	prec	M	N	K	time[sec]	perf[GFLOPS] 
matmul(Dense,CRS,Dense)	float	1000	1000	1000	0.00282085	57.4294
matmul(Dense,CRS,Dense)	float	2000	2000	2000	0.0116708	55.5233
matmul(Dense,CRS,Dense)	float	3000	3000	3000	0.0295111	49.4051
matmul(Dense,CRS,Dense)	double	1000	1000	1000	0.0144626	11.2013
matmul(Dense,CRS,Dense)	double	2000	2000	2000	0.0542436	11.9461
matmul(Dense,CRS,Dense)	double	3000	3000	3000	0.126867	11.4923
