func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00190704	1.04875
matvec(Dense)	float	2000	2000	6.46225e-05	123.796
matvec(Dense)	float	3000	3000	0.000184057	97.7957
matvec(Dense)	float	4000	4000	0.00512345	6.24579
matvec(Dense)	float	5000	5000	0.00963101	5.19156
matvec(Dense)	float	6000	6000	0.0148932	4.83441
matvec(Dense)	float	7000	7000	0.019909	4.92239
matvec(Dense)	float	8000	8000	0.027322	4.68487
matvec(Dense)	float	9000	9000	0.0155559	10.414
matvec(Dense)	float	10000	10000	0.0425926	4.69566
matvec(Dense)	double	1000	1000	6.05892e-05	33.0092
matvec(Dense)	double	2000	2000	0.000134546	59.4592
matvec(Dense)	double	3000	3000	0.00593629	3.03219
matvec(Dense)	double	4000	4000	0.0126885	2.52197
matvec(Dense)	double	5000	5000	0.0204145	2.44924
matvec(Dense)	double	6000	6000	0.0300236	2.39812
matvec(Dense)	double	7000	7000	0.0421345	2.32589
matvec(Dense)	double	8000	8000	0.0436881	2.92986
matvec(Dense)	double	9000	9000	0.0510944	3.1706
matvec(Dense)	double	10000	10000	0.0592165	3.37743
