func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00305017
transpose(Dense)	float	2000	2000	0.0157667
transpose(Dense)	float	3000	3000	0.049647
transpose(Dense)	float	4000	4000	0.098813
transpose(Dense)	float	5000	5000	0.154913
transpose(Dense)	float	6000	6000	0.215641
transpose(Dense)	float	7000	7000	0.32017
transpose(Dense)	float	8000	8000	0.398193
transpose(Dense)	float	9000	9000	0.528869
transpose(Dense)	float	10000	10000	0.61441
transpose(Dense)	double	1000	1000	0.00375981
transpose(Dense)	double	2000	2000	0.0285608
transpose(Dense)	double	3000	3000	0.07341
transpose(Dense)	double	4000	4000	0.151293
transpose(Dense)	double	5000	5000	0.229922
transpose(Dense)	double	6000	6000	0.348743
transpose(Dense)	double	7000	7000	0.453931
transpose(Dense)	double	8000	8000	0.619107
transpose(Dense)	double	9000	9000	0.753723
transpose(Dense)	double	10000	10000	0.930367
