func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00201928	0.495226
m_tanh(Dense)	float	2000	2000	0.00108849	3.67481
m_tanh(Dense)	float	3000	3000	0.00250885	3.5873
m_tanh(Dense)	float	4000	4000	0.00497409	3.21667
m_tanh(Dense)	float	5000	5000	0.00886472	2.82017
m_tanh(Dense)	float	6000	6000	0.0128879	2.79331
m_tanh(Dense)	float	7000	7000	0.017859	2.74372
m_tanh(Dense)	float	8000	8000	0.0235079	2.72249
m_tanh(Dense)	float	9000	9000	0.0301284	2.68849
m_tanh(Dense)	float	10000	10000	0.038279	2.6124
m_tanh(Dense)	double	1000	1000	0.00523331	0.191084
m_tanh(Dense)	double	2000	2000	0.00384015	1.04162
m_tanh(Dense)	double	3000	3000	0.00700734	1.28437
m_tanh(Dense)	double	4000	4000	0.0124696	1.28312
m_tanh(Dense)	double	5000	5000	0.0196326	1.27339
m_tanh(Dense)	double	6000	6000	0.0281571	1.27854
m_tanh(Dense)	double	7000	7000	0.0397061	1.23407
m_tanh(Dense)	double	8000	8000	0.0499957	1.28011
m_tanh(Dense)	double	9000	9000	0.0648191	1.24963
m_tanh(Dense)	double	10000	10000	0.0783728	1.27595
