func	prec	M	N	K	time[sec]	perf[GFLOPS] 
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0179867	111.193
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0105928	1510.46
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0280762	1923.34
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.061511	2080.93
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.120883	2068.11
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.027592	72.4848
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208538	76.7245
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.681802	79.2018
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.62307	78.8628
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.18623	78.4627
