func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
v_minus	float	1000	0.000576698	0.00173401	0.0138721
v_minus	float	10000	1.89982e-05	0.526366	4.21093
v_minus	float	100000	0.000140237	0.713077	5.70462
v_minus	float	1000000	0.00111946	0.89329	7.14632
v_minus	float	10000000	0.0279556	0.35771	2.86168
v_minus	float	100000000	0.36453	0.274326	2.19461
v_minus	double	1000	1.00354e-05	0.0996472	1.59436
v_minus	double	10000	2.99913e-05	0.33343	5.33488
v_minus	double	100000	0.000224678	0.445082	7.12131
v_minus	double	1000000	0.00226784	0.440948	7.05517
v_minus	double	10000000	0.0544006	0.183821	2.94114
v_minus	double	100000000	0.575798	0.173672	2.77875
