func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asum	float	1000	2.341e-07	4.27168	17.0867
asum	float	10000	1.3343e-06	7.49457	29.9783
asum	float	100000	8.8248e-06	11.3317	45.3268
asum	float	1000000	1.86247e-05	53.6921	214.769
asum	float	10000000	0.00054861	18.2279	72.9115
asum	float	100000000	0.0127962	7.8148	31.2592
asum	double	1000	3.392e-07	2.94811	23.5849
asum	double	10000	8.2448e-06	1.21289	9.70309
asum	double	100000	9.623e-06	10.3918	83.1342
asum	double	1000000	3.38806e-05	29.5154	236.123
asum	double	10000000	0.0053839	1.85739	14.8591
asum	double	100000000	0.0446147	2.24141	17.9313
