func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_div	float	1000	0.00183763	0.00108836	0.00653016
vv_div	float	10000	0.00193029	0.0103611	0.0621668
vv_div	float	100000	0.00330449	0.0605237	0.363142
vv_div	float	1000000	0.0155115	0.128936	0.773618
vv_div	float	10000000	0.116087	0.172285	1.03371
