func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.00212761	0.940022
mv_mul(Dense)	float	2000	2000	6.98622e-05	114.511
mv_mul(Dense)	float	3000	3000	0.000180037	99.9793
mv_mul(Dense)	float	4000	4000	0.00506319	6.32012
mv_mul(Dense)	float	5000	5000	0.00956146	5.22932
mv_mul(Dense)	float	6000	6000	0.0148097	4.86169
mv_mul(Dense)	float	7000	7000	0.0206112	4.7547
mv_mul(Dense)	float	8000	8000	0.0270057	4.73974
mv_mul(Dense)	float	9000	9000	0.01394	11.6212
mv_mul(Dense)	float	10000	10000	0.042831	4.66952
mv_mul(Dense)	double	1000	1000	0.000147007	13.6048
mv_mul(Dense)	double	2000	2000	0.000137681	58.1054
mv_mul(Dense)	double	3000	3000	0.0060615	2.96956
mv_mul(Dense)	double	4000	4000	0.0130669	2.44894
mv_mul(Dense)	double	5000	5000	0.0183081	2.73103
mv_mul(Dense)	double	6000	6000	0.0301092	2.3913
mv_mul(Dense)	double	7000	7000	0.0421991	2.32233
mv_mul(Dense)	double	8000	8000	0.054022	2.36941
mv_mul(Dense)	double	9000	9000	0.0442562	3.6605
mv_mul(Dense)	double	10000	10000	0.0793228	2.52134
