func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0162424	0.123135
matvec(Dense)	float	2000	2000	0.000712292	11.2313
matvec(Dense)	float	3000	3000	0.000907386	19.8372
matvec(Dense)	float	4000	4000	0.00120671	26.5183
matvec(Dense)	float	5000	5000	0.00152979	32.6843
matvec(Dense)	float	6000	6000	0.00195978	36.7389
matvec(Dense)	float	7000	7000	0.00247634	39.5746
matvec(Dense)	float	8000	8000	0.00316821	40.4014
matvec(Dense)	float	9000	9000	0.00377867	42.8722
matvec(Dense)	float	10000	10000	0.00453652	44.0867
matvec(Dense)	double	1000	1000	0.000545181	3.66851
matvec(Dense)	double	2000	2000	0.000825137	9.69536
matvec(Dense)	double	3000	3000	0.00120974	14.8792
matvec(Dense)	double	4000	4000	0.00182267	17.5566
matvec(Dense)	double	5000	5000	0.00249185	20.0655
matvec(Dense)	double	6000	6000	0.0034459	20.8944
matvec(Dense)	double	7000	7000	0.00442722	22.1358
matvec(Dense)	double	8000	8000	0.00568892	22.4999
matvec(Dense)	double	9000	9000	0.00709073	22.8467
